City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
jamestown,42.1,-79.24,82.0,69,75,5.82,US,1598212717
hobart,-42.88,147.33,41.0,75,75,8.05,AU,1598212758
whitehorse,60.72,-135.05,57.99,82,75,8.05,CA,1598212654
albany,42.6,-73.97,82.99,65,75,9.17,US,1598212758
tiksi,71.69,128.87,38.66,83,100,10.45,RU,1598212589
ushuaia,-54.8,-68.3,35.6,74,40,16.11,AR,1598212699
rikitea,-23.12,-134.97,70.11,83,36,22.19,PF,1598212759
ayia galini,35.1,24.68,82.0,44,0,8.72,GR,1598212759
warmbad,-28.45,18.73,65.55,26,0,4.74,NA,1598212698
fort nelson,58.81,-122.7,57.2,87,90,5.82,CA,1598212647
mataura,-46.19,168.86,42.01,94,23,1.01,NZ,1598212759
vallenar,-28.57,-70.76,66.85,37,0,9.73,CL,1598212759
puerto ayora,-0.74,-90.35,77.0,57,86,21.92,EC,1598212550
barrow,71.29,-156.79,41.0,93,90,3.36,US,1598212548
zapotiltic,19.62,-103.43,80.6,83,75,9.17,MX,1598212759
yellowknife,62.46,-114.35,59.0,54,40,8.05,CA,1598212759
atuona,-9.8,-139.03,78.42,78,2,16.15,PF,1598212759
auki,-8.77,160.7,77.63,85,69,3.98,SB,1598212759
maicao,11.38,-72.24,89.82,57,20,10.07,CO,1598212760
bandrele,-12.91,45.19,71.6,88,36,5.82,YT,1598212760
leningradskiy,69.38,178.42,44.22,86,97,12.41,RU,1598212760
yar-sale,66.83,70.83,50.49,92,13,11.41,RU,1598212760
kampli,15.4,76.62,75.18,82,89,12.1,IN,1598212760
chapada dos guimaraes,-15.46,-55.75,89.6,25,0,3.36,BR,1598212760
hilo,19.73,-155.09,82.4,69,90,5.82,US,1598212760
cape town,-33.93,18.42,60.01,82,40,10.29,ZA,1598212719
sibolga,1.74,98.78,75.78,80,23,3.47,ID,1598212760
port lincoln,-34.73,135.87,46.96,81,46,2.28,AU,1598212760
cuauhtemoc,28.42,-106.87,84.0,25,38,8.01,MX,1598212673
la primavera,5.49,-70.41,83.53,72,7,9.78,CO,1598212760
saint-francois,46.42,3.91,64.4,59,0,3.36,FR,1598212760
beihai,21.48,109.1,83.23,80,0,7.49,CN,1598212761
busselton,-33.65,115.33,43.0,80,0,3.85,AU,1598212761
grindavik,63.84,-22.43,53.6,66,43,6.93,IS,1598212761
canavieiras,-15.68,-38.95,72.07,85,91,12.15,BR,1598212761
souillac,-20.52,57.52,71.6,73,40,17.22,MU,1598212761
turukhansk,65.82,87.98,52.23,89,59,9.08,RU,1598212761
henties bay,-22.12,14.28,57.99,86,0,5.01,NA,1598212761
norman wells,65.28,-126.83,68.0,52,20,17.22,CA,1598212761
sarahan,31.52,77.8,63.3,77,65,0.34,IN,1598212761
mecca,21.43,39.83,92.14,29,0,5.12,SA,1598212761
esso,55.93,158.7,42.31,74,3,3.53,RU,1598212761
kodiak,57.79,-152.41,60.8,72,90,4.7,US,1598212761
avarua,-21.21,-159.78,75.2,73,0,11.41,CK,1598212761
burnie,-41.07,145.92,41.0,75,79,8.01,AU,1598212761
qaanaaq,77.48,-69.36,37.09,85,100,3.85,GL,1598212762
kavaratti,10.57,72.64,81.9,81,83,13.38,IN,1598212762
hermanus,-34.42,19.23,57.0,94,99,1.01,ZA,1598212572
turbat,26.0,63.04,85.8,68,100,8.25,PK,1598212762
saint-philippe,-21.36,55.77,69.8,77,36,6.93,RE,1598212558
kachug,53.96,105.88,52.66,90,100,3.18,RU,1598212762
east london,-33.02,27.91,61.36,74,6,6.24,ZA,1598212762
lingyuan,41.24,119.4,62.82,92,100,10.02,CN,1598212762
uyemskiy,64.47,40.85,60.8,93,90,6.71,RU,1598212762
vanavara,60.34,102.28,53.94,88,100,3.96,RU,1598212762
coihaique,-45.58,-72.07,37.4,86,90,3.36,CL,1598212762
khatanga,71.97,102.5,55.65,67,97,10.22,RU,1598212762
chuy,-33.7,-53.46,59.32,71,0,10.67,UY,1598212762
gunjur,13.2,-16.73,82.4,83,75,5.82,GM,1598212762
husavik,66.04,-17.34,51.8,71,81,4.7,IS,1598212762
kapaa,22.08,-159.32,84.0,74,40,12.75,US,1598212763
vaini,-21.2,-175.2,75.2,94,20,6.93,TO,1598212763
port alfred,-33.59,26.89,57.87,83,9,9.66,ZA,1598212763
saldanha,-33.01,17.94,55.4,87,72,6.93,ZA,1598212763
iqaluit,63.75,-68.51,48.2,76,40,4.7,CA,1598212763
butaritari,3.07,172.79,82.89,70,98,11.14,KI,1598212519
awbari,26.59,12.78,82.72,21,0,7.36,LY,1598212763
beringovskiy,63.05,179.32,53.31,79,36,3.56,RU,1598212671
lima,-12.04,-77.03,66.2,68,75,9.17,PE,1598212559
lotofaga,-13.98,-171.86,77.0,94,40,28.1,WS,1598212763
new norfolk,-42.78,147.06,39.0,86,15,3.38,AU,1598212544
villiers,-27.03,28.6,52.11,43,0,6.76,ZA,1598212763
muros,42.78,-9.06,70.0,70,0,5.99,ES,1598212673
caravelas,-17.71,-39.25,68.18,87,100,11.81,BR,1598212764
linqing,36.85,115.71,75.31,96,12,9.01,CN,1598212764
basco,20.45,121.97,84.45,79,99,25.66,PH,1598212764
bac lieu,9.29,105.72,79.83,84,39,6.87,VN,1598212764
severo-kurilsk,50.68,156.12,52.03,77,8,2.15,RU,1598212594
canyon lake,29.88,-98.26,91.0,52,43,5.99,US,1598212764
kamnik,46.23,14.61,68.0,88,75,4.7,SI,1598212764
dikson,73.51,80.55,45.21,82,0,10.96,RU,1598212764
pandan,14.05,124.17,80.04,82,100,5.46,PH,1598212764
tasiilaq,65.61,-37.64,46.4,75,0,6.93,GL,1598212764
bluff,-46.6,168.33,42.01,94,63,1.01,NZ,1598212764
kilindoni,-7.91,39.67,76.93,75,82,14.83,TZ,1598212764
paamiut,61.99,-49.67,42.6,89,1,3.62,GL,1598212537
aksarka,66.56,67.8,49.98,89,92,10.78,RU,1598212764
necochea,-38.55,-58.74,64.99,44,0,15.99,AR,1598212577
constitucion,-35.33,-72.42,53.51,74,100,18.59,CL,1598212764
belaya gora,68.53,146.42,36.01,84,96,7.96,RU,1598212765
georgetown,5.41,100.34,80.01,94,20,3.36,MY,1598212765
bredasdorp,-34.53,20.04,55.4,87,100,2.24,ZA,1598212765
claresholm,50.03,-113.59,78.01,25,78,5.82,CA,1598212765
punta arenas,-53.15,-70.92,33.8,71,75,26.4,CL,1598212765
bani,18.28,-70.33,84.0,86,100,7.0,DO,1598212765
vrangel,42.73,133.08,67.03,92,39,2.59,RU,1598212765
pisco,-13.7,-76.22,64.99,82,75,9.17,PE,1598212765
fuerte olimpo,-21.04,-57.87,79.93,48,0,5.37,PY,1598212765
nanortalik,60.14,-45.24,46.96,78,0,5.01,GL,1598212765
roma,43.21,-75.46,87.8,43,1,6.93,US,1598212565
borogontsy,62.67,131.17,41.27,67,94,2.35,RU,1598212765
carnarvon,-24.87,113.63,64.4,77,0,18.34,AU,1598212592
alofi,-19.06,-169.92,77.0,78,90,10.29,NU,1598212765
roebourne,-20.78,117.13,74.77,34,62,7.05,AU,1598212765
kawalu,-7.38,108.21,71.64,89,69,1.45,ID,1598212766
mana,5.66,-53.78,84.02,72,82,11.65,GF,1598212766
daimiel,39.07,-3.62,87.01,18,0,3.0,ES,1598212766
luderitz,-26.65,15.16,60.22,67,0,7.36,NA,1598212766
kolosovka,56.47,73.61,50.23,96,58,6.24,RU,1598212766
hambantota,6.12,81.12,79.36,83,0,11.16,LK,1598212766
abnub,27.27,31.15,86.0,37,0,11.41,EG,1598212766
gat,31.61,34.76,82.0,34,0,1.9,IL,1598212766
uray,60.12,64.78,53.64,80,84,8.01,RU,1598212766
nouakchott,18.09,-15.98,84.2,74,90,18.34,MR,1598212766
natal,-5.79,-35.21,80.6,61,17,18.34,BR,1598212653
qeshm,26.96,56.27,91.4,75,20,9.17,IR,1598212767
carayao,-25.18,-56.4,72.93,54,0,5.73,PY,1598212767
cherskiy,68.75,161.3,38.3,93,100,12.86,RU,1598212767
torbay,47.67,-52.73,66.2,63,40,5.82,CA,1598212767
chokurdakh,70.63,147.92,33.75,91,100,10.67,RU,1598212688
worthington,40.09,-83.02,87.01,54,40,8.05,US,1598212767
poum,-20.23,164.02,71.92,81,23,19.3,NC,1598212767
sisimiut,66.94,-53.67,47.12,76,5,4.85,GL,1598212767
arraial do cabo,-22.97,-42.03,71.6,64,75,11.41,BR,1598212767
prince rupert,54.32,-130.32,60.8,82,90,8.05,CA,1598212768
tarime,-1.35,34.37,75.2,69,75,1.97,TZ,1598212768
mananjary,-21.22,48.33,65.5,87,0,4.76,MG,1598212768
singaraja,-8.11,115.09,76.23,70,56,2.82,ID,1598212768
hithadhoo,-0.6,73.08,82.51,79,55,13.44,MV,1598212768
isangel,-19.55,169.27,77.23,85,18,4.85,VU,1598212768
nikolskoye,59.7,30.79,62.6,82,40,4.47,RU,1598212768
wonthaggi,-38.6,145.59,46.0,95,99,7.0,AU,1598212565
kruisfontein,-34.0,24.73,55.99,86,100,1.01,ZA,1598212768
ribeira grande,38.52,-28.7,75.2,88,40,8.05,PT,1598212769
krasnoselkup,65.7,82.47,49.44,92,100,2.24,RU,1598212710
kulpahar,25.32,79.65,78.03,85,30,10.94,IN,1598212769
bambari,5.77,20.68,70.54,95,99,1.48,CF,1598212769
lorengau,-2.02,147.27,79.03,79,100,7.49,PG,1598212769
umm lajj,25.02,37.27,83.53,59,0,3.49,SA,1598212769
mandera,3.94,41.87,81.72,53,97,21.34,KE,1598212769
nome,64.5,-165.41,53.6,81,90,5.82,US,1598212769
te anau,-45.42,167.72,38.35,88,87,1.57,NZ,1598212770
palana,59.12,159.97,45.03,89,100,4.41,RU,1598212770
saskylakh,71.92,114.08,39.6,86,0,7.38,RU,1598212770
bouca,6.51,18.27,70.45,97,100,2.98,CF,1598212770
visnes,59.36,5.22,55.4,66,5,14.99,NO,1598212770
shar,49.59,81.05,62.64,49,100,6.58,KZ,1598212770
kahului,20.89,-156.47,87.8,43,20,20.8,US,1598212770
sosnovo-ozerskoye,52.52,111.54,51.17,93,100,3.06,RU,1598212770
kungalv,57.87,11.98,60.01,75,50,4.0,SE,1598212770
mizan teferi,6.98,35.58,62.17,90,100,2.66,ET,1598212770
benjamin constant,-4.38,-70.03,71.6,83,90,4.7,BR,1598212770
bethel,41.37,-73.41,87.01,51,20,10.29,US,1598212771
yulara,-25.24,130.99,55.4,40,0,4.7,AU,1598212771
puerto leguizamo,-0.19,-74.78,84.88,55,40,3.8,CO,1598212634
margate,51.38,1.39,66.0,78,100,1.99,GB,1598212771
lebu,-37.62,-73.65,50.97,91,100,19.42,CL,1598212771
myitkyina,25.38,97.4,74.73,96,100,0.69,MM,1598212771
saint-augustin,51.23,-58.65,63.03,73,81,9.55,CA,1598212771
lahad datu,5.03,118.33,75.0,92,8,3.22,MY,1598212771
hobyo,5.35,48.53,75.9,77,30,25.08,SO,1598212771
the valley,18.22,-63.06,87.8,70,40,14.99,AI,1598212710
radhanpur,23.83,71.6,76.1,95,100,16.13,IN,1598212771
benjamin hill,30.17,-111.1,106.0,32,0,3.0,MX,1598212772
upernavik,72.79,-56.15,44.53,84,94,7.31,GL,1598212539
tuktoyaktuk,69.45,-133.04,62.6,67,40,13.87,CA,1598212542
airai,-8.93,125.41,57.06,37,68,4.14,TL,1598212772
dukat,62.55,155.55,32.0,98,100,3.33,RU,1598212772
minot,48.23,-101.3,73.4,64,40,9.17,US,1598212772
mezen,65.85,44.24,57.67,95,100,10.56,RU,1598212772
mount gambier,-37.83,140.77,39.2,93,90,6.93,AU,1598212612
ternate,0.8,127.4,79.41,82,75,2.39,ID,1598212772
yatou,37.15,122.38,74.43,94,29,10.09,CN,1598212772
dwarka,22.24,68.97,82.89,84,100,19.86,IN,1598212772
pierre,44.37,-100.35,107.13,11,0,13.73,US,1598212772
lilongwe,-13.97,33.79,63.18,66,14,3.74,MW,1598212672
ust-nera,64.57,143.2,37.44,73,100,5.66,RU,1598212773
thinadhoo,0.53,72.93,83.21,74,59,10.94,MV,1598212773
grootfontein,-19.57,18.12,56.7,46,0,3.56,NA,1598212773
azul,-36.78,-59.86,66.0,33,0,4.0,AR,1598212773
mahebourg,-20.41,57.7,71.6,73,40,17.22,MU,1598212773
kaitangata,-46.28,169.85,52.0,90,90,15.01,NZ,1598212773
ambon,-3.7,128.18,75.99,16,100,9.98,ID,1598212773
pevek,69.7,170.31,37.31,95,100,3.74,RU,1598212773
djambala,-2.54,14.75,73.74,79,100,1.97,CG,1598212773
talnakh,69.49,88.4,57.2,82,100,13.42,RU,1598212773
teofilo otoni,-17.86,-41.51,64.29,73,93,3.74,BR,1598212773
camacha,33.08,-16.33,73.4,78,40,13.87,PT,1598212773
kallifitos,41.17,24.22,81.0,78,20,1.74,GR,1598212773
victoria,22.29,114.16,84.0,79,1,10.0,HK,1598212773
hranice,49.55,17.73,66.2,82,48,4.7,CZ,1598212774
port elizabeth,-33.92,25.57,60.8,77,95,6.93,ZA,1598212774
palora,-1.7,-77.93,71.6,83,75,4.7,EC,1598212774
the pas,53.83,-101.25,71.6,53,20,17.0,CA,1598212774
codrington,-38.27,141.97,42.87,79,94,7.56,AU,1598212774
greenville,35.61,-77.37,84.2,70,40,11.41,US,1598212711
ushtobe,45.25,77.98,69.12,27,85,4.05,KZ,1598212653
luau,-10.71,22.22,68.18,32,26,2.82,AO,1598212774
goderich,43.75,-81.72,86.0,68,0,8.57,CA,1598212774
hanko,59.83,22.95,66.0,81,42,3.0,FI,1598212774
tessalit,20.2,1.01,93.24,33,93,13.87,ML,1598212621
faya,18.39,42.45,71.6,88,68,4.7,SA,1598212775
itaituba,-4.28,-55.98,97.54,26,71,1.52,BR,1598212775
olafsvik,64.89,-23.71,51.8,68,14,7.34,IS,1598212775
tocopilla,-22.09,-70.2,63.93,60,34,8.25,CL,1598212540
bluffton,32.24,-80.86,82.99,78,90,5.82,US,1598212775
iquique,-20.22,-70.14,62.6,67,90,17.22,CL,1598212775
vung tau,10.35,107.08,81.19,82,11,11.41,VN,1598212775
aklavik,68.22,-135.01,62.6,67,75,11.41,CA,1598212775
broken hill,-31.95,141.43,39.2,85,3,4.7,AU,1598212775
